frame,cam1_timestamp_us,cam2_timestamp_us,drift_us,drift_ms
2175,1768253705925000,1768253705890000,-35000,-35.0
2176,1768253705925000,1768253705925000,0,0.0
2177,1768253705958000,1768253705925000,-33000,-33.0
2178,1768253705958000,1768253705958000,0,0.0
2179,1768253705958000,1768253705958000,0,0.0
2181,1768253705995000,1768253705995000,0,0.0
2183,1768253706061000,1768253706028000,-33000,-33.0
2184,1768253706061000,1768253706061000,0,0.0
2185,1768253706094000,1768253706061000,-33000,-33.0
2186,1768253706094000,1768253706094000,0,0.0
2189,1768253706130000,1768253706130000,0,0.0
2191,1768253706166000,1768253706166000,0,0.0
2192,1768253706202000,1768253706166000,-36000,-36.0
2193,1768253706202000,1768253706202000,0,0.0
2195,1768253706238000,1768253706238000,0,0.0
2197,1768253706274000,1768253706274000,0,0.0
2200,1768253706311000,1768253706311000,0,0.0
2201,1768253706345000,1768253706311000,-34000,-34.0
2202,1768253706345000,1768253706345000,0,0.0
2204,1768253706380000,1768253706380000,0,0.0
2206,1768253706417000,1768253706417000,0,0.0
2208,1768253706450000,1768253706450000,0,0.0
2210,1768253706484000,1768253706484000,0,0.0
2211,1768253706518000,1768253706484000,-34000,-34.0
2214,1768253706552000,1768253706552000,0,0.0
2215,1768253706586000,1768253706552000,-34000,-34.0
2217,1768253706622000,1768253706586000,-36000,-36.0
2218,1768253706622000,1768253706622000,0,0.0
2219,1768253706656000,1768253706622000,-34000,-34.0
2224,1768253706725000,1768253706725000,0,0.0
2225,1768253706758000,1768253706725000,-33000,-33.0
2226,1768253706758000,1768253706758000,0,0.0
2227,1768253706758000,1768253706758000,0,0.0
2229,1768253706796000,1768253706796000,0,0.0
2230,1768253706829000,1768253706796000,-33000,-33.0
2231,1768253706829000,1768253706829000,0,0.0
2233,1768253706862000,1768253706862000,0,0.0
2234,1768253706898000,1768253706862000,-36000,-36.0
2235,1768253706898000,1768253706898000,0,0.0
2237,1768253706933000,1768253706933000,0,0.0
2238,1768253706967000,1768253706933000,-34000,-34.0
2239,1768253706967000,1768253706967000,0,0.0
2241,1768253707004000,1768253707004000,0,0.0
2242,1768253707038000,1768253707004000,-34000,-34.0
2243,1768253707038000,1768253707038000,0,0.0
2244,1768253707076000,1768253707038000,-38000,-38.0
2246,1768253707111000,1768253707076000,-35000,-35.0
2247,1768253707111000,1768253707111000,0,0.0
2248,1768253707111000,1768253707111000,0,0.0
2249,1768253707146000,1768253707111000,-35000,-35.0
2250,1768253707146000,1768253707146000,0,0.0
2251,1768253707181000,1768253707146000,-35000,-35.0
2252,1768253707181000,1768253707181000,0,0.0
2253,1768253707215000,1768253707181000,-34000,-34.0
2254,1768253707215000,1768253707215000,0,0.0
2256,1768253707249000,1768253707249000,0,0.0
2257,1768253707284000,1768253707249000,-35000,-35.0
2258,1768253707284000,1768253707284000,0,0.0
2259,1768253707318000,1768253707284000,-34000,-34.0
2260,1768253707318000,1768253707318000,0,0.0
2261,1768253707354000,1768253707318000,-36000,-36.0
2262,1768253707354000,1768253707354000,0,0.0
2263,1768253707388000,1768253707354000,-34000,-34.0
2264,1768253707388000,1768253707388000,0,0.0
2265,1768253707427000,1768253707388000,-39000,-39.0
2266,1768253707427000,1768253707427000,0,0.0
2268,1768253707463000,1768253707427000,-36000,-36.0
2269,1768253707463000,1768253707463000,0,0.0
2270,1768253707498000,1768253707463000,-35000,-35.0
2271,1768253707498000,1768253707498000,0,0.0
2272,1768253707534000,1768253707498000,-36000,-36.0
2273,1768253707534000,1768253707534000,0,0.0
2274,1768253707571000,1768253707534000,-37000,-37.0
2275,1768253707571000,1768253707571000,0,0.0
2276,1768253707605000,1768253707571000,-34000,-34.0
2277,1768253707605000,1768253707605000,0,0.0
2279,1768253707643000,1768253707643000,0,0.0
2280,1768253707643000,1768253707643000,0,0.0
2281,1768253707678000,1768253707643000,-35000,-35.0
2282,1768253707678000,1768253707678000,0,0.0
2283,1768253707713000,1768253707678000,-35000,-35.0
2284,1768253707713000,1768253707713000,0,0.0
2286,1768253707747000,1768253707747000,0,0.0
